id,m,p,n
3857.0,0.8909749529956871,0.05154639175257732,97.0
3858.0,0.5569716761534184,0.0,13.0
3859.0,0.45154499349597177,0.0,8.0
3860.0,0.9795206961605468,0.0,91.0
3861.0,0.7702966083114055,0.16230366492146597,191.0
3862.0,1.0126529326323852,0.0,106.0
3863.0,1.0880456295278407,0.0,150.0
3864.0,1.2449792397124173,0.0,309.0
3865.0,0.4748454812731356,0.20930232558139536,43.0
3866.0,1.0552948551496244,0.0,129.0
3867.0,0.5066992590726773,0.3027027027027027,370.0
3868.0,0.5168421540507926,0.14285714285714285,28.0
3869.0,0.4225490200071284,0.0,7.0
3870.0,0.8639529433630231,0.06315789473684211,95.0
3871.0,1.2124408183155335,0.0,266.0
3872.0,0.6611096473669597,0.0,21.0
3873.0,0.5569716761534184,0.0,13.0
3874.0,0.56251837901751,0.2,75.0
3875.0,1.138911625188243,0.05509641873278237,363.0
3876.0,0.8544936951314703,0.16666666666666666,366.0
3877.0,1.003105392489994,0.13009708737864079,515.0
3878.0,1.3705757994258925,0.0,551.0
3879.0,1.0803952605295757,0.06535947712418301,306.0
3880.0,0.12958848893620467,0.43209876543209874,81.0
3881.0,0.3450528104279015,0.25,24.0
3882.0,0.9952368406002511,0.07142857142857142,210.0
3883.0,1.2266591700235188,0.0,284.0
3884.0,0.8236828093982143,0.14746543778801843,217.0
3885.0,0.5395906230238124,0.0,12.0
3886.0,0.3890756251918218,0.0,6.0
3887.0,0.3010299956639812,0.0,4.0
3888.0,0.34948500216800943,0.0,5.0
3889.0,1.0748118524974928,0.08130081300813008,369.0
3890.0,0.5206963425791125,0.0,11.0
3891.0,0.5,0.0,10.0
3892.0,0.8393799851549617,0.14814814814814814,243.0
3893.0,0.9534057939839365,0.11688311688311688,308.0
3894.0,0.7514130410212381,0.19805194805194806,308.0
3895.0,1.192803136799156,0.0,243.0
3896.0,0.7657394585211276,0.0,34.0
3897.0,0.6275469311456038,0.15384615384615385,65.0
3898.0,0.9608805261844233,0.08121827411167512,197.0
3899.0,0.6393768004764144,0.0,19.0
3900.0,0.9330097550010439,0.13535911602209943,362.0
3901.0,0.7592569699389438,0.0,33.0
3902.0,-0.2916228082994818,0.62109375,256.0
3903.0,1.272653558232912,0.0,351.0
3904.0,1.3725373957910287,0.0,556.0
3905.0,1.146128035678238,0.0,196.0
3906.0,0.7293192784613236,0.06382978723404255,47.0
3908.0,0.4225490200071284,0.0,7.0
3909.0,0.47774765118004414,0.24675324675324675,77.0
3910.0,1.3251537615659683,0.0,447.0
3911.0,0.9377538450704673,0.14782608695652175,460.0
3912.0,1.110119980322241,0.05466237942122187,311.0
3913.0,1.2875939224638304,0.0,376.0
3914.0,0.7566487769069482,0.10126582278481013,79.0
3915.0,0.8285151857479023,0.07058823529411765,85.0
3916.0,1.077668018732531,0.0,143.0
3917.0,0.34948500216800943,0.0,5.0
3918.0,0.7353369983203082,0.22119815668202766,434.0
3919.0,1.0979498262046168,0.0,157.0
3920.0,1.115224460689137,0.0,170.0
3921.0,0.8961901967896556,0.14958448753462603,361.0
3922.0,1.0894884736465846,0.0,151.0
3923.0,1.2546012611655515,0.0,323.0
